id,subscription_type,m_revenue,join_date,last_payment,country,age,gender,device_type,plan_duration
705,Standard,12,11-10-22,27-04-23,Brazil,26,Female,Smartphone,1 Month
706,Premium,15,28-10-21,12-12-21,Australia,42,Male,Tablet,1 Month
707,Basic,10,10-06-23,26-06-23,Canada,27,Male,Laptop,1 Month
708,Basic,9,12-04-22,31-08-22,Spain,34,Female,Laptop,1 Month
709,Basic,10,27-10-22,18-02-23,United States,38,Female,Laptop,1 Month
710,Standard,13,19-02-23,11-05-23,France,51,Female,Smart TV,1 Month
711,Premium,15,11-07-22,22-03-23,Spain,36,Male,Tablet,1 Month
712,Basic,12,01-11-22,31-01-23,Spain,51,Female,Smart TV,1 Month
713,Premium,18,21-09-21,17-11-21,Mexico,42,Female,Smartphone,1 Month
714,Standard,13,30-01-22,18-10-22,Canada,27,Female,Smartphone,1 Month
715,Basic,13,18-10-22,19-01-23,Germany,44,Male,Tablet,1 Month
716,Standard,12,26-06-23,07-07-23,United States,37,Female,Tablet,1 Month
717,Standard,11,22-08-22,14-07-23,United States,27,Male,Laptop,1 Month
718,Standard,14,30-04-22,18-03-23,United Kingdom,27,Male,Tablet,1 Month
719,Premium,18,08-12-22,04-06-23,United States,27,Female,Smartphone,1 Month
720,Basic,11,09-04-23,20-06-23,Australia,43,Male,Laptop,1 Month
721,Basic,11,03-07-22,28-07-22,Mexico,41,Male,Laptop,1 Month
722,Standard,14,09-08-22,20-02-23,Spain,34,Female,Smartphone,1 Month
723,Basic,10,22-08-22,25-01-23,Brazil,37,Female,Tablet,1 Month
724,Premium,17,17-02-22,07-04-22,Brazil,43,Female,Smartphone,1 Month
725,Basic,11,09-03-23,05-07-23,Spain,42,Female,Smartphone,1 Month
726,Standard,11,31-03-22,10-01-23,Mexico,26,Male,Smart TV,1 Month
727,Premium,15,31-12-22,17-04-23,Australia,45,Female,Smart TV,1 Month
728,Basic,11,15-09-21,13-10-21,Italy,26,Male,Laptop,1 Month
729,Basic,11,26-03-23,23-06-23,United States,43,Male,Laptop,1 Month
730,Standard,11,11-10-21,01-01-22,United States,43,Female,Smart TV,1 Month
731,Premium,18,15-04-22,07-12-22,United States,32,Female,Smart TV,1 Month
732,Standard,13,21-10-21,21-03-22,Germany,34,Female,Tablet,1 Month
733,Premium,15,21-02-23,25-06-23,Spain,34,Female,Smart TV,1 Month
734,Basic,12,21-11-21,22-08-22,Germany,41,Female,Tablet,1 Month
735,Basic,13,29-06-22,05-11-22,Australia,40,Male,Smart TV,1 Month
736,Premium,15,13-07-22,17-10-22,Australia,31,Female,Smart TV,1 Month
737,Premium,16,15-12-21,20-05-22,United States,44,Male,Tablet,1 Month
738,Premium,14,27-10-22,10-03-23,Australia,45,Female,Laptop,1 Month
739,Basic,11,02-10-22,23-06-23,France,45,Male,Laptop,1 Month
740,Premium,15,27-05-22,01-08-22,Mexico,30,Male,Smart TV,1 Month
741,Premium,16,17-04-22,12-04-23,Italy,47,Male,Tablet,1 Month
742,Standard,12,22-04-23,25-06-23,United Kingdom,47,Male,Smart TV,1 Month
743,Basic,11,28-01-23,24-06-23,Spain,38,Male,Smart TV,1 Month
744,Standard,13,16-04-23,24-06-23,France,35,Female,Tablet,1 Month
745,Basic,9,05-04-23,04-07-23,United Kingdom,27,Male,Tablet,1 Month
746,Basic,9,19-07-22,20-06-23,Italy,41,Female,Laptop,1 Month
747,Basic,11,22-06-23,08-07-23,Canada,40,Male,Smartphone,1 Month
748,Premium,16,06-02-23,13-07-23,United States,47,Female,Laptop,1 Month
749,Premium,14,12-06-23,21-06-23,Mexico,35,Female,Smartphone,1 Month
750,Premium,15,13-03-22,01-06-22,Spain,36,Female,Smartphone,1 Month
751,Premium,16,02-09-22,24-02-23,Italy,26,Male,Tablet,1 Month
752,Basic,9,02-08-22,16-03-23,Australia,46,Male,Smart TV,1 Month
753,Standard,13,01-06-22,16-02-23,Australia,31,Male,Smartphone,1 Month
754,Premium,18,20-02-23,15-07-23,France,36,Female,Laptop,1 Month
755,Standard,13,26-08-22,24-04-23,United Kingdom,37,Female,Laptop,1 Month
756,Standard,14,22-02-22,09-05-22,France,51,Female,Smartphone,1 Month
757,Premium,17,30-12-22,02-03-23,Brazil,45,Male,Smartphone,1 Month
758,Basic,11,09-01-23,07-07-23,United States,28,Female,Tablet,1 Month
759,Standard,15,03-08-22,28-04-23,Canada,51,Male,Smartphone,1 Month
760,Standard,14,25-03-22,25-07-22,Germany,50,Male,Smart TV,1 Month
761,Standard,12,16-08-22,18-01-23,France,26,Male,Smartphone,1 Month
762,Basic,12,30-07-22,08-07-23,Brazil,44,Male,Smartphone,1 Month
763,Basic,12,11-01-22,27-12-22,United Kingdom,38,Male,Smart TV,1 Month
764,Standard,15,12-05-22,18-01-23,Australia,46,Male,Laptop,1 Month
765,Basic,9,30-08-22,13-07-23,Spain,40,Female,Tablet,1 Month
766,Basic,9,02-09-21,26-09-21,France,44,Female,Smartphone,1 Month
767,Basic,12,21-09-22,01-05-23,Mexico,44,Male,Smart TV,1 Month
768,Premium,18,12-04-22,07-09-22,Spain,34,Female,Smart TV,1 Month
769,Standard,12,23-08-22,16-01-23,Spain,46,Male,Tablet,1 Month
770,Premium,18,13-09-22,28-03-23,Canada,38,Female,Tablet,1 Month
771,Premium,16,26-06-23,04-07-23,United Kingdom,48,Male,Smart TV,1 Month
772,Standard,11,18-07-22,18-09-22,Brazil,31,Male,Smartphone,1 Month
773,Standard,11,18-11-22,01-07-23,Germany,34,Male,Smartphone,1 Month
774,Basic,11,02-02-22,26-09-22,Spain,50,Male,Smartphone,1 Month
775,Basic,9,14-07-22,15-01-23,Canada,46,Female,Smart TV,1 Month
776,Standard,14,21-05-22,05-02-23,Brazil,40,Female,Tablet,1 Month
777,Basic,12,08-01-23,11-07-23,Italy,36,Male,Laptop,1 Month
778,Basic,13,23-12-22,25-01-23,Brazil,50,Male,Laptop,1 Month
779,Basic,11,20-07-22,15-04-23,United Kingdom,34,Female,Tablet,1 Month
780,Premium,18,11-12-21,22-01-22,United Kingdom,27,Female,Smart TV,1 Month
781,Premium,17,05-01-22,07-07-22,Australia,44,Male,Tablet,1 Month
782,Basic,13,08-01-22,13-06-22,Spain,29,Male,Smart TV,1 Month
783,Premium,16,05-09-21,17-11-21,Mexico,42,Female,Tablet,1 Month
784,Basic,9,12-02-22,30-05-22,Australia,40,Male,Smart TV,1 Month
785,Standard,12,27-08-22,03-04-23,France,48,Female,Smartphone,1 Month
786,Standard,13,24-10-22,26-06-23,Canada,47,Female,Tablet,1 Month
787,Premium,15,22-06-23,01-07-23,Australia,37,Female,Smart TV,1 Month
788,Standard,12,13-05-22,11-07-22,Spain,30,Male,Smartphone,1 Month
789,Standard,12,20-02-22,11-04-22,Spain,41,Female,Smartphone,1 Month
790,Basic,13,27-01-23,15-07-23,United States,33,Female,Smartphone,1 Month
791,Premium,17,21-05-23,27-06-23,Australia,38,Male,Smart TV,1 Month
792,Standard,15,06-04-22,26-02-23,Spain,45,Female,Tablet,1 Month
793,Standard,13,18-11-22,20-06-23,Brazil,27,Male,Laptop,1 Month
794,Standard,11,14-06-23,22-06-23,France,28,Male,Tablet,1 Month
795,Basic,13,09-10-22,11-04-23,Mexico,47,Male,Laptop,1 Month
796,Premium,16,21-05-22,05-12-22,Spain,37,Male,Smart TV,1 Month
797,Premium,15,17-05-23,11-07-23,United States,27,Male,Smart TV,1 Month
798,Basic,13,24-09-21,07-01-22,Germany,29,Female,Laptop,1 Month
799,Basic,9,25-07-22,01-11-22,United States,42,Male,Smart TV,1 Month
800,Standard,12,12-03-23,09-07-23,Brazil,34,Male,Smartphone,1 Month
801,Standard,14,21-02-22,09-04-22,Spain,29,Male,Smart TV,1 Month
802,Standard,12,13-09-22,19-03-23,Mexico,45,Female,Smartphone,1 Month
803,Premium,18,06-04-22,01-02-23,Germany,37,Male,Smartphone,1 Month
804,Standard,11,02-05-23,10-07-23,Spain,51,Female,Tablet,1 Month
805,Premium,17,07-03-22,27-06-22,Germany,26,Male,Smartphone,1 Month
806,Standard,14,06-02-23,01-04-23,Canada,33,Male,Smart TV,1 Month
807,Premium,15,13-05-23,05-07-23,Canada,45,Female,Smartphone,1 Month
808,Basic,10,12-11-22,09-12-22,United States,28,Male,Smart TV,1 Month
809,Basic,13,07-09-22,07-11-22,Brazil,33,Female,Smart TV,1 Month
810,Basic,13,06-04-22,09-07-22,Canada,51,Male,Laptop,1 Month
811,Standard,11,20-09-22,26-03-23,Mexico,47,Female,Laptop,1 Month
812,Basic,12,21-08-22,14-03-23,Brazil,42,Female,Laptop,1 Month
813,Premium,18,03-04-23,11-07-23,United States,48,Female,Tablet,1 Month
814,Basic,10,12-09-21,02-05-22,Mexico,32,Female,Smart TV,1 Month
815,Standard,13,28-03-22,22-06-22,United States,33,Female,Smart TV,1 Month
816,Premium,16,25-12-21,01-07-22,Spain,44,Female,Smartphone,1 Month
817,Premium,14,18-06-22,14-12-22,Canada,27,Male,Laptop,1 Month
818,Standard,14,08-04-23,01-07-23,Canada,26,Female,Laptop,1 Month
819,Premium,17,20-09-21,11-06-22,Germany,48,Male,Smart TV,1 Month
820,Premium,16,17-12-21,06-08-22,Spain,37,Male,Tablet,1 Month
821,Premium,17,30-08-22,29-06-23,Spain,36,Female,Smartphone,1 Month
822,Premium,16,17-10-21,17-08-22,United Kingdom,46,Male,Smartphone,1 Month
823,Premium,14,05-04-23,14-07-23,Spain,38,Male,Smartphone,1 Month
824,Standard,11,13-06-22,30-07-22,France,45,Male,Smart TV,1 Month
825,Standard,12,27-01-23,21-04-23,Germany,51,Female,Smartphone,1 Month
826,Standard,14,04-02-23,06-03-23,United Kingdom,38,Female,Laptop,1 Month
827,Premium,18,02-01-22,17-05-22,United Kingdom,44,Male,Smart TV,1 Month
828,Standard,15,21-11-22,24-12-22,Mexico,44,Female,Smart TV,1 Month
829,Premium,16,23-08-22,09-01-23,Mexico,46,Male,Tablet,1 Month
830,Standard,14,02-03-22,23-02-23,United Kingdom,46,Male,Smartphone,1 Month
831,Basic,10,16-02-22,29-08-22,Brazil,39,Male,Tablet,1 Month
832,Premium,15,14-01-22,16-06-22,Germany,38,Female,Smartphone,1 Month
833,Standard,13,29-01-22,23-03-22,Brazil,44,Male,Smart TV,1 Month
834,Basic,9,09-05-22,23-12-22,United States,41,Male,Laptop,1 Month
835,Basic,11,27-10-21,13-03-22,Spain,31,Female,Smart TV,1 Month
836,Premium,15,29-04-22,29-01-23,Spain,31,Male,Tablet,1 Month
837,Standard,13,27-06-22,24-07-22,United States,31,Male,Smart TV,1 Month
838,Standard,11,18-09-21,30-10-21,Australia,42,Male,Laptop,1 Month
839,Premium,15,14-11-21,07-08-22,United States,28,Female,Laptop,1 Month
840,Basic,10,14-12-22,06-02-23,Spain,31,Female,Smartphone,1 Month
841,Standard,13,14-11-22,01-01-23,Canada,33,Male,Smartphone,1 Month
842,Standard,12,17-06-23,22-06-23,France,46,Male,Tablet,1 Month
843,Standard,11,27-07-22,13-05-23,Germany,26,Male,Laptop,1 Month
844,Premium,15,25-01-23,03-07-23,United Kingdom,45,Female,Tablet,1 Month
845,Premium,14,11-01-22,05-11-22,Australia,29,Male,Tablet,1 Month
846,Premium,15,15-06-22,27-02-23,Canada,47,Female,Tablet,1 Month
847,Standard,14,26-09-21,03-11-21,Canada,44,Female,Laptop,1 Month
848,Premium,14,03-04-23,05-07-23,France,42,Female,Laptop,1 Month
849,Standard,11,19-11-22,28-12-22,United Kingdom,38,Female,Smart TV,1 Month
850,Basic,13,26-12-21,18-05-22,United Kingdom,48,Female,Smart TV,1 Month
851,Premium,17,11-11-21,16-04-22,United States,51,Male,Smartphone,1 Month
852,Basic,10,19-04-22,29-08-22,Spain,43,Male,Laptop,1 Month
853,Standard,14,04-05-22,13-08-22,Spain,46,Female,Smart TV,1 Month
854,Premium,16,22-06-22,09-08-22,United Kingdom,32,Female,Smartphone,1 Month
855,Premium,16,12-11-22,13-04-23,Germany,29,Female,Tablet,1 Month
856,Standard,15,06-03-22,29-11-22,Spain,26,Female,Laptop,1 Month
857,Basic,12,04-03-22,27-10-22,Germany,41,Male,Smartphone,1 Month
858,Basic,13,27-09-22,28-05-23,United States,26,Female,Smartphone,1 Month
859,Basic,9,17-04-23,20-06-23,United States,29,Male,Tablet,1 Month
860,Standard,13,05-04-23,09-07-23,United States,41,Female,Laptop,1 Month
861,Standard,14,20-08-22,26-11-22,Australia,35,Male,Smart TV,1 Month
862,Basic,12,30-07-22,20-11-22,Australia,38,Male,Tablet,1 Month
863,Premium,15,07-04-22,01-06-22,Canada,33,Female,Smart TV,1 Month
864,Premium,14,24-12-22,23-06-23,Italy,28,Female,Smartphone,1 Month
865,Standard,11,02-03-23,07-07-23,France,41,Female,Laptop,1 Month
866,Premium,15,19-02-23,08-06-23,Spain,39,Female,Laptop,1 Month
867,Standard,14,17-01-23,27-02-23,United Kingdom,37,Male,Laptop,1 Month
868,Basic,13,14-06-23,07-07-23,Mexico,49,Male,Smart TV,1 Month
869,Premium,15,20-11-22,03-06-23,Spain,47,Female,Smartphone,1 Month
870,Standard,12,29-10-21,24-06-22,Brazil,34,Male,Tablet,1 Month
871,Premium,16,05-12-22,27-06-23,Germany,27,Female,Smart TV,1 Month
872,Premium,14,19-03-23,08-07-23,Mexico,47,Female,Smart TV,1 Month
873,Basic,13,27-02-22,07-06-22,France,50,Female,Smart TV,1 Month
874,Standard,11,12-07-22,03-12-22,Canada,50,Female,Laptop,1 Month
875,Standard,12,30-12-22,12-07-23,Mexico,30,Male,Laptop,1 Month
876,Premium,14,06-09-22,16-06-23,Canada,34,Male,Tablet,1 Month
877,Premium,18,17-06-22,23-03-23,United Kingdom,26,Male,Smartphone,1 Month
878,Premium,16,13-04-23,10-07-23,Germany,33,Male,Smart TV,1 Month
879,Standard,12,15-02-23,24-06-23,France,51,Male,Smartphone,1 Month
880,Standard,12,14-01-22,11-03-22,Italy,37,Female,Tablet,1 Month
881,Premium,15,15-12-22,14-07-23,Italy,33,Female,Smartphone,1 Month
882,Basic,13,31-07-22,14-02-23,Australia,38,Female,Tablet,1 Month
883,Standard,15,17-10-22,23-05-23,Germany,26,Female,Smart TV,1 Month
884,Standard,12,21-05-22,19-02-23,Spain,51,Female,Smart TV,1 Month
885,Basic,13,22-12-21,11-05-22,Canada,26,Female,Smartphone,1 Month
886,Basic,11,10-03-23,15-07-23,Mexico,47,Male,Tablet,1 Month
887,Basic,11,16-05-22,02-03-23,United Kingdom,51,Male,Tablet,1 Month
888,Basic,10,02-06-23,12-07-23,Spain,35,Male,Tablet,1 Month
889,Basic,13,19-06-22,30-07-22,Spain,49,Female,Laptop,1 Month
890,Premium,14,16-11-21,15-05-22,Australia,50,Female,Laptop,1 Month
891,Standard,14,16-07-22,25-11-22,United States,37,Male,Laptop,1 Month
892,Basic,9,12-10-22,25-12-22,Canada,36,Male,Smartphone,1 Month
893,Premium,18,20-10-21,02-08-22,United Kingdom,32,Female,Smartphone,1 Month
894,Basic,10,10-11-22,25-04-23,Australia,33,Male,Smart TV,1 Month
895,Premium,14,09-12-22,04-07-23,Australia,49,Male,Smartphone,1 Month
896,Basic,10,08-10-21,19-03-22,Canada,33,Male,Smart TV,1 Month
897,Standard,15,30-10-21,01-12-21,Germany,32,Female,Tablet,1 Month
898,Basic,12,01-07-22,30-11-22,France,27,Female,Smart TV,1 Month
899,Premium,17,28-06-22,24-10-22,Mexico,27,Male,Tablet,1 Month
900,Premium,15,27-01-22,04-01-23,Italy,29,Male,Smart TV,1 Month
901,Standard,13,31-03-23,02-07-23,Spain,28,Female,Smart TV,1 Month
902,Premium,17,26-10-21,12-07-22,Brazil,51,Female,Tablet,1 Month
903,Basic,9,03-11-22,23-01-23,United States,27,Male,Smart TV,1 Month
904,Standard,11,25-12-22,16-03-23,Spain,30,Female,Smartphone,1 Month
905,Standard,12,08-02-23,11-03-23,United States,37,Female,Laptop,1 Month
906,Standard,13,14-03-22,27-06-22,Mexico,34,Female,Laptop,1 Month
907,Premium,17,06-11-21,21-04-22,United States,35,Male,Smart TV,1 Month
908,Standard,12,15-08-22,01-04-23,United Kingdom,27,Female,Laptop,1 Month
909,Basic,10,16-06-23,20-06-23,United States,40,Female,Laptop,1 Month
910,Premium,15,01-06-23,09-07-23,Spain,35,Female,Smartphone,1 Month
911,Standard,14,01-11-22,14-02-23,Italy,48,Male,Smartphone,1 Month
912,Premium,17,02-02-23,26-06-23,France,40,Male,Tablet,1 Month
913,Basic,10,26-03-23,15-07-23,France,42,Female,Smartphone,1 Month
914,Premium,17,01-09-21,28-03-22,United States,28,Male,Tablet,1 Month
915,Basic,13,27-11-21,15-06-22,United Kingdom,51,Female,Smart TV,1 Month
916,Premium,15,25-06-22,01-09-22,Australia,42,Male,Smartphone,1 Month
917,Standard,13,27-05-22,18-06-22,Australia,43,Male,Smartphone,1 Month
918,Premium,17,04-02-23,26-06-23,Germany,38,Female,Smartphone,1 Month
919,Basic,11,27-03-23,02-07-23,Australia,26,Male,Laptop,1 Month
920,Basic,10,14-10-22,12-07-23,Canada,37,Female,Smartphone,1 Month
921,Premium,16,12-03-23,06-07-23,Australia,27,Female,Laptop,1 Month
922,Premium,16,15-09-22,08-12-22,Mexico,43,Female,Smartphone,1 Month
923,Basic,9,11-06-22,28-12-22,Australia,48,Male,Smartphone,1 Month
924,Basic,13,13-09-21,04-09-22,Spain,29,Male,Smart TV,1 Month
925,Basic,13,22-06-22,03-06-23,United Kingdom,41,Female,Tablet,1 Month
926,Premium,16,04-12-21,09-07-22,France,51,Female,Smart TV,1 Month
927,Standard,13,31-03-22,30-11-22,Australia,47,Female,Tablet,1 Month
928,Basic,10,26-12-21,06-05-22,Canada,44,Female,Smartphone,1 Month
929,Premium,14,14-01-22,08-06-22,Spain,29,Male,Smart TV,1 Month
930,Premium,18,02-09-21,16-03-22,Canada,42,Male,Laptop,1 Month
931,Basic,10,05-03-22,12-08-22,Canada,32,Female,Smart TV,1 Month
932,Premium,17,07-03-22,04-10-22,France,39,Male,Smartphone,1 Month
933,Premium,14,09-05-22,04-08-22,United States,26,Female,Smart TV,1 Month
934,Basic,11,22-04-23,12-07-23,United States,27,Female,Smart TV,1 Month
935,Premium,15,14-06-23,25-06-23,United States,47,Male,Smartphone,1 Month
936,Standard,11,14-09-22,19-10-22,Mexico,35,Female,Tablet,1 Month
937,Premium,17,08-04-22,28-11-22,Spain,32,Female,Laptop,1 Month
938,Standard,12,09-03-22,12-07-22,Australia,42,Male,Laptop,1 Month
939,Basic,9,15-05-22,28-10-22,Canada,34,Female,Smart TV,1 Month
940,Standard,11,01-09-22,13-02-23,Italy,31,Male,Tablet,1 Month
941,Basic,13,31-10-21,15-08-22,Germany,26,Male,Laptop,1 Month
942,Standard,12,06-06-23,30-06-23,France,29,Female,Tablet,1 Month
943,Basic,13,22-09-22,20-02-23,Australia,29,Male,Laptop,1 Month
944,Standard,12,10-05-22,12-12-22,Italy,38,Male,Smartphone,1 Month
945,Premium,17,09-05-22,25-08-22,United States,51,Male,Laptop,1 Month
946,Basic,13,13-11-21,06-09-22,United States,47,Male,Smartphone,1 Month
947,Premium,14,24-09-21,22-05-22,United Kingdom,29,Female,Tablet,1 Month
948,Standard,12,02-05-22,07-01-23,France,36,Female,Tablet,1 Month
949,Basic,11,29-04-23,01-07-23,France,51,Male,Tablet,1 Month
950,Basic,12,30-01-23,29-03-23,Canada,29,Male,Smartphone,1 Month
951,Premium,14,19-12-22,14-03-23,Canada,47,Male,Tablet,1 Month
952,Premium,18,14-11-22,13-07-23,Brazil,32,Female,Tablet,1 Month
953,Basic,11,21-04-23,07-07-23,Canada,45,Female,Smartphone,1 Month
954,Premium,15,13-09-22,15-06-23,Australia,47,Male,Tablet,1 Month
955,Basic,10,13-04-22,20-05-22,Italy,38,Male,Tablet,1 Month
956,Premium,17,17-05-22,22-08-22,United Kingdom,28,Female,Laptop,1 Month
957,Premium,18,03-03-23,10-07-23,United States,29,Female,Tablet,1 Month
958,Premium,18,05-02-22,03-07-22,United States,33,Female,Smart TV,1 Month
959,Premium,18,12-02-23,14-07-23,Mexico,49,Male,Smart TV,1 Month
960,Basic,12,26-07-22,29-06-23,United Kingdom,29,Female,Smartphone,1 Month
961,Premium,17,08-08-22,29-09-22,Spain,45,Male,Smart TV,1 Month
962,Basic,12,20-01-23,13-06-23,Spain,43,Female,Laptop,1 Month
963,Premium,18,17-11-21,12-06-22,Germany,40,Male,Smart TV,1 Month
964,Standard,11,05-03-22,21-05-22,France,37,Male,Smartphone,1 Month
965,Standard,11,15-05-23,13-06-23,Brazil,43,Female,Smartphone,1 Month
966,Basic,12,18-12-22,29-06-23,Brazil,35,Male,Laptop,1 Month
967,Basic,9,22-04-22,19-04-23,Brazil,27,Male,Tablet,1 Month
968,Premium,17,10-05-23,14-07-23,Spain,40,Male,Tablet,1 Month
969,Basic,10,24-10-21,23-06-22,Germany,48,Male,Laptop,1 Month
970,Standard,12,13-01-22,05-02-22,France,28,Male,Tablet,1 Month
971,Premium,16,06-01-22,14-03-22,Mexico,27,Female,Laptop,1 Month
972,Premium,18,10-09-21,01-11-21,France,47,Male,Tablet,1 Month
973,Standard,11,04-04-22,05-01-23,Australia,51,Female,Smart TV,1 Month
974,Standard,13,23-03-22,21-12-22,France,30,Female,Smartphone,1 Month
975,Premium,17,26-11-21,02-01-22,Brazil,26,Female,Tablet,1 Month
976,Standard,14,06-05-23,25-06-23,Canada,51,Female,Laptop,1 Month
977,Premium,18,07-02-23,23-06-23,Germany,27,Male,Smart TV,1 Month
978,Premium,18,26-06-23,30-06-23,Canada,30,Male,Smartphone,1 Month
979,Premium,14,25-07-22,07-04-23,United States,46,Female,Smartphone,1 Month
980,Standard,15,29-10-21,06-05-22,Canada,51,Female,Tablet,1 Month
981,Standard,12,12-08-22,28-01-23,Brazil,32,Male,Laptop,1 Month
982,Standard,15,05-04-22,13-02-23,United States,49,Male,Tablet,1 Month
983,Basic,9,19-09-22,27-01-23,Spain,34,Female,Laptop,1 Month
984,Standard,15,30-01-22,03-05-22,Brazil,40,Female,Tablet,1 Month
985,Basic,10,07-04-23,11-07-23,United States,48,Male,Tablet,1 Month
986,Basic,12,27-12-22,07-02-23,United States,29,Female,Laptop,1 Month
987,Premium,18,10-10-21,26-11-21,Brazil,34,Female,Smart TV,1 Month
988,Premium,15,25-09-21,28-11-21,United Kingdom,42,Male,Smartphone,1 Month
989,Standard,11,17-09-22,28-11-22,Mexico,31,Female,Laptop,1 Month
990,Standard,13,14-12-21,31-10-22,Mexico,42,Female,Smart TV,1 Month
991,Standard,12,06-12-22,24-06-23,United States,51,Male,Laptop,1 Month
992,Premium,16,31-05-22,23-05-23,Germany,40,Female,Smart TV,1 Month
993,Premium,18,29-07-22,28-12-22,Spain,36,Female,Tablet,1 Month
994,Standard,11,13-05-22,07-06-22,United States,50,Female,Laptop,1 Month
995,Premium,16,10-09-21,15-05-22,Mexico,34,Male,Smart TV,1 Month
996,Premium,18,01-10-21,24-08-22,Brazil,28,Female,Laptop,1 Month
997,Basic,11,24-02-22,08-10-22,Canada,40,Male,Laptop,1 Month
998,Basic,11,31-01-23,23-06-23,United Kingdom,30,Female,Smartphone,1 Month
999,Basic,12,28-01-22,05-04-22,United States,50,Female,Smartphone,1 Month
1000,Standard,12,26-09-21,28-06-22,Australia,34,Male,Smartphone,1 Month
1001,Premium,18,09-09-21,01-01-22,Germany,40,Female,Tablet,1 Month
1002,Basic,11,16-10-22,02-07-23,Spain,28,Female,Tablet,1 Month
1003,Basic,11,27-04-23,14-07-23,Brazil,51,Female,Laptop,1 Month
1004,Standard,12,22-01-23,24-06-23,Canada,33,Female,Smartphone,1 Month
1005,Premium,17,21-02-23,21-03-23,United States,29,Male,Laptop,1 Month
1006,Premium,14,11-11-22,12-07-23,Germany,36,Male,Laptop,1 Month
1007,Premium,17,01-01-23,14-07-23,Australia,47,Female,Laptop,1 Month
1008,Basic,12,23-06-22,21-02-23,Australia,38,Female,Tablet,1 Month
1009,Premium,18,12-11-21,10-05-22,Canada,47,Male,Smart TV,1 Month
1010,Basic,12,08-10-21,19-12-21,Australia,39,Female,Smartphone,1 Month
1011,Premium,16,15-10-21,30-12-21,Italy,27,Female,Tablet,1 Month
1012,Standard,11,11-05-23,13-07-23,Australia,47,Female,Smartphone,1 Month
1013,Basic,13,23-05-22,24-11-22,Australia,47,Female,Laptop,1 Month
1014,Basic,11,16-04-23,28-06-23,Canada,51,Female,Laptop,1 Month
1015,Basic,10,30-05-22,20-02-23,United States,26,Female,Smartphone,1 Month
1016,Premium,15,14-08-22,06-04-23,Spain,36,Male,Laptop,1 Month
1017,Standard,14,19-07-22,24-11-22,United States,33,Male,Tablet,1 Month
1018,Premium,16,18-09-21,23-10-21,United States,46,Male,Smartphone,1 Month
1019,Premium,15,06-10-21,02-01-22,Australia,50,Male,Smart TV,1 Month
1020,Standard,14,31-03-22,07-10-22,Germany,50,Female,Laptop,1 Month
1021,Standard,11,14-12-22,01-07-23,Germany,48,Male,Tablet,1 Month
1022,Premium,18,06-11-22,09-12-22,United States,26,Male,Smartphone,1 Month
1023,Basic,12,27-12-22,19-05-23,Australia,37,Male,Smart TV,1 Month
1024,Basic,13,04-07-22,01-09-22,Italy,39,Male,Laptop,1 Month
1025,Premium,17,04-09-22,01-04-23,United Kingdom,27,Male,Smartphone,1 Month
1026,Premium,15,01-10-21,03-07-22,United Kingdom,44,Male,Smartphone,1 Month
1027,Basic,12,05-04-22,29-05-22,Italy,46,Female,Smart TV,1 Month
1028,Basic,12,07-06-22,30-06-22,Spain,40,Female,Tablet,1 Month
1029,Premium,14,01-03-23,13-07-23,Spain,27,Male,Smart TV,1 Month
1030,Standard,15,01-03-23,08-07-23,Spain,50,Male,Tablet,1 Month
1031,Standard,13,05-06-22,03-05-23,Mexico,49,Female,Smartphone,1 Month
1032,Standard,12,16-06-23,07-07-23,Spain,50,Female,Smart TV,1 Month
1033,Premium,14,19-08-22,27-05-23,Spain,26,Male,Tablet,1 Month
1034,Standard,12,13-02-22,07-06-22,Mexico,50,Male,Smartphone,1 Month
1035,Premium,18,02-02-22,29-07-22,United States,46,Male,Tablet,1 Month
1036,Standard,15,21-09-22,07-07-23,Brazil,46,Female,Tablet,1 Month
1037,Basic,13,20-02-23,14-07-23,France,43,Female,Smartphone,1 Month
1038,Premium,16,01-11-22,23-05-23,Germany,33,Male,Laptop,1 Month
1039,Premium,15,14-09-21,06-02-22,France,40,Female,Tablet,1 Month
1040,Standard,14,09-09-21,02-03-22,United States,35,Female,Smartphone,1 Month
1041,Premium,18,14-12-22,14-07-23,Germany,43,Male,Laptop,1 Month
1042,Standard,12,04-04-22,03-03-23,United Kingdom,33,Male,Laptop,1 Month
1043,Basic,9,23-04-23,09-07-23,Spain,43,Female,Tablet,1 Month
1044,Basic,9,28-02-22,06-01-23,United States,49,Female,Laptop,1 Month
1045,Standard,13,29-11-22,13-07-23,Spain,44,Female,Smart TV,1 Month
1046,Basic,9,18-12-21,01-12-22,United Kingdom,30,Male,Smartphone,1 Month
1047,Standard,11,18-08-22,29-06-23,Spain,43,Male,Smart TV,1 Month
1048,Premium,17,11-02-22,24-09-22,Germany,27,Female,Smartphone,1 Month
1049,Premium,15,28-05-23,24-06-23,Australia,51,Female,Laptop,1 Month
1050,Basic,9,03-12-21,05-01-22,Spain,30,Female,Smart TV,1 Month
1051,Standard,13,20-05-22,16-11-22,Australia,39,Female,Smartphone,1 Month
1052,Basic,13,27-01-22,18-12-22,Canada,28,Male,Tablet,1 Month
1053,Premium,15,23-04-22,15-04-23,Mexico,47,Male,Smart TV,1 Month
1054,Premium,18,11-02-23,26-06-23,Australia,42,Female,Smartphone,1 Month
